mineral,oxygens,sample,no.,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,NiO,MgO,CaO,Na2O,K2O,total oxides,Si,Ti,Al,Cr,Fe,Mn,Ni,Mg,Ca,Na,K,total cations
ol,4,chd#2,1,42.51,0.04,0.07,0.04,0.18,0,0,55.26,1.58,0,0,99.68,1.003,0.001,0.002,0.001,0.004,0,0,1.944,0.04,0,0,2.995
ol,4,chd#2,9,42.16,0.1,0.06,0.2,3.14,0.07,0.03,53.81,0.24,0,0,99.81,1.004,0.002,0.002,0.004,0.063,0.001,0.001,1.91,0.006,0,0,2.992
cpx,6,chd#2,4,52.33,2,4.09,0.81,0.32,0.1,0,19.44,21,0.01,0.01,100.11,1.872,0.054,0.172,0.023,0.01,0.003,0,1.037,0.805,0.001,0,3.977
cpx,6,chd#2,6,51.54,1.74,5.72,0.56,0.67,0.09,0,19.12,20.75,0.04,0,100.23,1.842,0.047,0.241,0.016,0.02,0.003,0,1.019,0.795,0.003,0,3.984
opx,6,chd#2,8,57.09,0.22,0.76,0.48,1.92,0.08,0.03,36.87,0.67,0.01,0,98.13,1.971,0.006,0.031,0.013,0.055,0.002,0.001,1.897,0.025,0.001,0,4.002
opx,6,chd#2,10,59.19,0.19,0.63,0.51,0.67,0.2,0.03,38.06,0.67,0.01,0,100.16,1.988,0.005,0.025,0.014,0.019,0.006,0.001,1.906,0.024,0.001,0,3.988
cpx,6,chd#2,11,58.33,0.3,0.98,0.53,0.33,0.14,0,34.7,5.02,0.01,0,100.34,1.977,0.008,0.039,0.014,0.009,0.004,0,1.754,0.182,0.001,0,3.989
cpx,6,chd#2,12,53.87,1.1,3.09,0.51,0.21,0.08,0,22,19.24,0,0,100.1,1.911,0.029,0.129,0.014,0.006,0.002,0,1.164,0.731,0,0,3.988
fs,8,chd#2,3,47.1,0.06,32.39,0.01,0.21,0,0,1.07,17.98,1.61,0,100.43,2.164,0.002,1.754,0,0.008,0,0,0.073,0.885,0.143,0,5.029
fs,8,chd#2,5,47.72,0.06,31.87,0.01,0.71,0.03,0,0.58,16.88,2.12,0,99.98,2.2,0.002,1.732,0,0.027,0.001,0,0.04,0.834,0.19,0,5.026
ol,4,chd#3,15,42.72,0.05,1.08,0.11,0.37,0.01,0,54.32,0.68,0.53,0,99.87,1.005,0.001,0.03,0.002,0.007,0,0,1.904,0.017,0.024,0,2.991
ol,4,chd#3,17,42.83,0.03,0.11,0.16,0.45,0,0.01,56.1,0.46,0,0,100.15,1.004,0.001,0.003,0.003,0.009,0,0,1.961,0.012,0,0,2.992
ol,4,chd#3,18,40.43,0.02,0.03,0.11,11.16,0,0.01,46.57,0.33,0.01,0,98.67,1.009,0,0.001,0.002,0.233,0,0,1.733,0.009,0,0,2.989
ol,4,chd#3,21,42.46,0.05,0.27,0.1,0.32,0.03,0.01,55.26,0.57,0,0,99.07,1.006,0.001,0.008,0.002,0.006,0.001,0,1.951,0.014,0,0,2.989
cpx,6,chd#3,16,45.09,0.56,22.45,0.36,3.62,0,0.01,13.78,14.9,0.49,0,101.26,1.581,0.015,0.928,0.01,0.106,0,0,0.72,0.56,0.033,0,3.952
cpx,6,chd#3,19,46.72,1.91,22.05,0.76,0.64,0,0.05,7.34,19.53,0.5,0,99.5,1.657,0.051,0.922,0.021,0.019,0,0.001,0.388,0.742,0.034,0,3.837
fsp/mes,8,chd#3,20,46.36,0.67,27.52,0.26,0.53,0,0.13,4.73,18.91,0.59,0,99.7,2.167,0.024,1.516,0.01,0.021,0,0.005,0.33,0.947,0.053,0,5.073
fsp/mes,8,chd#3,25,47.78,1.23,22.21,0.69,1.17,0,0.01,8.8,17.88,1.17,0,100.94,2.224,0.043,1.218,0.025,0.046,0,0,0.611,0.892,0.106,0,5.164
sp,4,#24 - CAI,74,0.59,0.27,67.71,0.63,5.54,0.03,0,23.43,0.14,0.07,0,98.41,0.015,0.005,1.972,0.012,0.115,0.001,0,0.863,0.004,0.003,0,2.99
ol/sp,4,#24 - CAI,76,35.13,0.58,14.39,0.3,8.06,0.05,0,33.12,4.09,1.04,0.13,96.89,0.886,0.011,0.428,0.006,0.17,0.001,0,1.246,0.111,0.051,0.004,2.913
ol/sp,4,#24 - CAI,77,35.52,0.49,25.58,0.29,4.88,0.02,0.01,17.51,15.67,1.21,0.02,101.2,0.858,0.009,0.729,0.006,0.099,0,0,0.631,0.406,0.057,0.001,2.794
sp,4,#24 - CAI,84,3.24,1.36,65.06,0.08,3.05,0.01,0.01,27.71,0.39,0.02,0,100.93,0.077,0.024,1.826,0.002,0.061,0,0,0.984,0.01,0.001,0,2.985
sp,4,#24 - CAI,85,0.16,0.51,69.36,0.26,2.41,0,0,25.71,0.08,0.01,0,98.5,0.004,0.009,1.988,0.005,0.049,0,0,0.932,0.002,0,0,2.99
cpx,6,#24 - CAI,75,51.72,0.2,3.27,0.05,0.27,0.02,0,17.69,24.25,0.43,0.05,97.95,1.908,0.006,0.142,0.001,0.008,0.001,0,0.973,0.959,0.031,0.002,4.031
cpx,6,#24 - CAI,81,32.79,1.35,26.06,0.46,2.53,0.03,0,17.46,15.75,0.8,0.2,97.43,1.228,0.038,1.15,0.014,0.079,0.001,0,0.975,0.632,0.058,0.01,4.185